Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
488.15,0.5,0.13677,7.3114,53.275,56.931,131.82,242.31,256.28,185.56,12.709,9.705,0.033787,vapor
493.15,0.5,0.13479,7.419,54.506,58.216,134.44,243.98,257.64,187.28,12.173,9.8064,0.034342,vapor
498.15,0.5,0.13288,7.5255,55.745,59.508,137.05,245.65,259.03,188.96,11.672,9.9075,0.034902,vapor
503.15,0.5,0.13105,7.6308,56.991,60.806,139.64,247.32,260.44,190.59,11.205,10.008,0.035466,vapor
508.15,0.5,0.12928,7.7352,58.245,62.112,142.22,248.98,261.87,192.19,10.767,10.109,0.036034,vapor
513.15,0.5,0.12757,7.8386,59.506,63.425,144.8,250.64,263.31,193.76,10.356,10.209,0.036606,vapor
518.15,0.5,0.12593,7.9411,60.775,64.745,147.36,252.29,264.77,195.29,9.9704,10.308,0.037182,vapor
523.15,0.5,0.12434,8.0428,62.051,66.073,149.91,253.94,266.23,196.79,9.6078,10.408,0.037761,vapor
528.15,0.5,0.12279,8.1437,63.336,67.408,152.45,255.58,267.7,198.27,9.2664,10.507,0.038344,vapor
533.15,0.5,0.1213,8.244,64.628,68.75,154.97,257.22,269.18,199.71,8.9445,10.606,0.03893,vapor
538.15,0.5,0.11985,8.3435,65.928,70.099,157.49,258.85,270.66,201.13,8.6407,10.704,0.039519,vapor
543.15,0.5,0.11845,8.4425,67.235,71.456,160.0,260.47,272.14,202.53,8.3536,10.803,0.040112,vapor
548.15,0.5,0.11708,8.5408,68.55,72.821,162.5,262.09,273.63,203.91,8.082,10.901,0.040707,vapor
553.15,0.5,0.11576,8.6386,69.873,74.193,165.0,263.7,275.11,205.26,7.8247,10.998,0.041305,vapor
558.15,0.5,0.11447,8.7359,71.204,75.572,167.48,265.3,276.6,206.6,7.5808,11.096,0.041906,vapor
563.15,0.5,0.11322,8.8327,72.542,76.959,169.95,266.89,278.09,207.91,7.3492,11.193,0.042509,vapor
568.15,0.5,0.11199,8.9291,73.888,78.353,172.42,268.48,279.57,209.21,7.1291,11.29,0.043115,vapor
573.15,0.5,0.1108,9.025,75.242,79.754,174.87,270.06,281.06,210.49,6.9198,11.386,0.043724,vapor
